33,23,11.6,28,33,0,1
33,25,11.6,28,33,0.1,2
19,16,6.6,18,19,4.1,3
26,17,11.6,22,26,0,4
28,19,11.6,23,28,0,5
26,19,11.6,23,26,0,6
22,18,7.8,19,22,1.4,7
26,17,9.1,20,26,5.7,8
22,13,6.5,18,22,19.6,9
24,15,11.6,19,24,0,10
26,17,11.6,22,26,0,11
26,20,11.6,23,26,0,12
26,18,11.6,23,26,0,13
25,18,8.9,23,25,0.1,14
26,17,11.6,22,26,0,15
27,20,11.6,20,27,0,16
23,20,8.9,23,23,0,17
18,12,11.6,14,18,0,18
18,12,11.6,14,18,0,19
19,10,11.6,14,19,0,20
21,12,11.6,17,21,0,21
22,15,11.6,18,22,0,22
16,14,7.4,15,16,0,23
23,15,10.2,19,23,0.1,24
22,16,7.4,19,22,0.4,25
22,15,10.2,18,22,2.2,26
23,16,8.8,19,23,0,27
23,17,10.2,19,23,0,28
23,16,11.6,19,23,0,29
23,16,5.9,19,23,0.4,30
23,15,10.2,19,23,0,31
22,16,10.2,18,22,0.1,32
16,11,10.2,12,16,0.9,33
17,10,11.6,13,17,0,34
13,11,7.3,10,13,4.6,35
14,10,7.3,10,14,1.1,36
13,8,8.7,9,13,0.2,37
14,7,11.6,10,14,0,38
20,11,11.6,14,20,0,39
16,11,8.7,12,16,7.4,40
18,11,11.5,14,18,0,41
21,11,10.1,15,21,0,42
22,14,10.1,18,22,0,43
23,15,8.7,19,23,0,44
25,16,8.7,20,25,0,45
20,15,5.5,17,20,0,46
21,14,8.7,18,21,0,47
22,15,7.1,18,22,0,48
22,14,8.7,18,22,0,49
23,16,8.7,19,23,0,50
25,17,8.7,20,25,0,51
26,17,8.7,21,26,0,52
26,18,8.7,22,26,0,53
25,17,8.7,21,25,0,54
24,17,8.7,20,24,0,55
24,16,8.7,19,24,0,56
24,16,8.7,20,24,0,57
18,13,7.1,15,18,0.2,58
11,4,3.8,9,11,4,59
10,7,3.8,8,10,1.2,60
10,4,8.7,6,10,0,61
12,7,8.7,7,12,0,62
12,6,3.7,6,12,3.1,63
19,11,7,13,19,1.8,64
15,11,3.7,12,15,25.5,65
17,10,3.7,12,17,9.7,66
13,10,8.7,11,13,0.1,67
14,10,5.4,11,14,1,68
13,7,7,9,13,0,69
16,10,5.3,11,16,14.4,70
10,8,3.6,7,10,18.1,71
11,6,8.7,7,11,0,72
9,4,3.6,5,9,2.2,73
18,11,5.3,13,18,4.5,74
12,6,8.7,8,12,0,75
15,9,7,10,15,0,76
17,11,8.7,12,17,0,77
17,11,8.7,12,17,0,78
14,11,5.3,11,14,0.4,79
12,8,8.7,9,12,0,80
12,9,5.3,8,12,7.9,81
14,10,7,10,14,8.3,82
12,8,5.3,8,12,2.8,83
9,5,8.7,4,9,0,84
10,5,8.6,5,10,0,85
11,6,8.6,7,11,0,86
10,6,3.2,8,10,0,87
0,3,6.9,3,0,2.3,88
12,10,3.2,9,12,14.2,89
11,8,5,8,11,1.8,90
5,-3,8.5,0,5,0,91
